id,created_at,screen_name,clean_text,original_text,favorite_count,retweet_count,follower_count,polarity,subjectivity,hashtags,location
1126776707099193345,Fri May 10 09:11:16 +0000 2019,techreview,by india could overtake the us as the world second largest emitter undermining efforts to curb global warming unless richer nations step up,"By 2040 India could overtake the US as the world’s second largest emitter, undermining efforts to curb global warming—unless richer nations step up. https://t.co/cGQ6r1xMmI",6,3,956231,0.0,0.0,,"Cambridge, MA"
1126765815980683265,Fri May 10 08:27:59 +0000 2019,HBSNairobi,awareness and action are requisite of coal many environmental impacts none are as harmful long term and irreversible as global warming stop lamu coal de coa lonize,"@RitaNjeri4 @naturaljustice @deCOALonize @odhiambo_odaga Awareness and action are requisite. Of coal’s many environmental impacts, none are as harmful, long term, and irreversible as global warming. @deCOALonize  @Odhiambo_ogada #StopLamuCoal #deCOALonize @savelamu @RitaNjeri4 https://t.co/WXPL6mbusB",9,6,4165,0.13749999999999998,0.25,"StopLamuCoal, deCOALonize","Nairobi, Kenya"
1126761961255866369,Fri May 10 08:12:40 +0000 2019,MightMaggie,if the writers want a global warming analogy the last episode should be people all fighting for the iron throne then just at the end surprise motherfuckers that comet crashes on westeros obliterates everyone and takes out most of the realms fade to black cue music,"@nickynoo007 @Ladycorvia @Bearlykat @IAmFrogPrincess @DaveTenacious @MaldenSaboteur @ChubaKelly @StephenOld @john196201 @DevonianMatthew @PrivateBrowser5 @IAmMardikins @Rachel5742 @pixielation @libdemEdRhymist @IncorrectEn @ColonelEscargot @FirehorseP @Socialistdawn @Firesnakious @ddale0000 @PaulTatum4 @eu_lover @E_Pamplemousse @gordoncraig11 @Goddess1345 @EvLenz @Weeblebum @charlessr1956 @Petersbrooking @blueunicornmoon @redalphababe @GrumpyScot @tmvmedia @bobhaigh13 @Mayesey9 @skiwithstyle1 @lilienfan @mpharrisonHarry @JulietDavies @tominfrance @juliatanner @LePlanRex @flumps263 @chriostoir_g @SimonSidleman @AilsaLaing @111meeuwis @NeilPollyTicks @Mary_Higgs If the writers want a global warming analogy the last episode should be 18 people all fighting for the Iron Throne then just at the end -SURPRISE MOTHERFUCKERS - that comet crashes on Westeros, obliterates everyone and takes out most of the 7 Realms.
*fade to black. Cue music.",5,3,150,0.08333333333333334,0.25,,
1126751398362660865,Fri May 10 07:30:42 +0000 2019,unredd,land restoration and reduced and avoided degradation of forests could provide more than one third of the most costeffective greenhouse gas mitigation activities required by to keep global warming to below better withforests,Land restoration and reduced and avoided degradation of #forests could provide more than one third of the most cost-effective greenhouse gas mitigation activities required by 2030 to keep global warming to below 2°C #BetterWithforests @UNDP_REDDPlus @UNEnvironment @FAOForestry https://t.co/yjttPFVzJZ,6,3,21831,0.3,0.3,"forests, BetterWithforests",Global
1126741692311171072,Fri May 10 06:52:07 +0000 2019,richardabetts,a footandahalf sea level rise by the end of this century is the least we can eect if emissions continue to follow current policies which take to to 2c 4c global warming by even if global emissions are cut radically now we are already committed to some slr,"@titathetitanium @_tokey @IssaIsaac04 @1300KWL @EdKrassen @AOC @PCKnappenberger @ClimateOfGavin @blkahn @KHayhoe @EricHolthaus @ClimateHuman @p_hannam @lindenashcroft @airscottdenning @KevinClimate @dana1981 @DoctorVive @GarethSJones1 @AndrewKingClim @ed_hawkins @dougmcneall @theresphysics @sarahinscience @aviandelights @SafariPenguin @benhenley @DustyBowl A foot-and-a-half sea level rise by the end of this century is the least we can expect if emissions continue to follow current policies (which take to to 2C - 4C global warming by 2100).

Even if global emissions are cut radically now, we're already committed to some SLR. https://t.co/snVtjTKk00",5,1,20111,-0.075,0.2,,"Devon, UK"
1126739853092147200,Fri May 10 06:44:49 +0000 2019,Fatbob2013,so it is freezing here where i amthank fck for global warming or it would have been degrees cooler hahahahah,"So it's freezing here where I am.....Thank Fck for "" Global Warming "".....or it would've been .0005 degrees cooler    hahahahah",28,10,1351,0.0,0.0,,Australia
1126738163794202624,Fri May 10 06:38:06 +0000 2019,KA_Nicholas,now years to halve global emissions to have a chance of limiting warming to 15oc with limited overshoot and avoid reliance on risky bets on future carbon capture which creates land use food and biodiversity conflicts is tough to fit on a protest sign,"@Oliver_Geden “12 [now 11] years to halve global emissions to have a 66% chance of limiting warming to 1.5oC with limited overshoot and avoid reliance on risky bets on future carbon capture which creates land use, food, and biodiversity conflicts” is tough to fit on a protest sign",12,1,5419,-0.012063492063492064,0.30023809523809525,,"Lund, Sweden"
1126734855130079232,Fri May 10 06:24:57 +0000 2019,aidan,honestly global warming needs to wipe us out already,honestly global warming needs to wipe us out already,550,123,246846,0.0,0.0,,
1126733543810293760,Fri May 10 06:19:45 +0000 2019,the_dugs_bawz,like this global warming due to the level of ignorance we are surrounded by you working on behalf of your globalist puppetmasters to control and tax us all,"@BBCNews like this global warming? due to the level of ignorance we are surrounded by, you, working on behalf of your globalist puppet-masters to control and tax us all.
https://t.co/T8eHlcuDVf",6,1,1049,-0.0625,0.1875,,Scotland
1126733229858349057,Fri May 10 06:18:30 +0000 2019,SundarrajanG,heritage sites at risk from global warming study,"Heritage sites at risk from global warming: study

https://t.co/wGGK7sxbio",6,4,8707,0.0,0.0,,chennai
